Features Trans;motorolum;droid;razr;cell;phone;motorolum droid razr cell phone;motorolum droid;razr cell;motorolum droid razr;motorolum droid razr cell;atrix;hd;4g;motorolum atrix hd 4g cell phone;motorolum atrix;hd 4g;cell phone;motorolum atrix hd;4g cell phone;motorolum atrix hd 4g;motorolum atrix hd 4g cell
motorolum droid razr cell phone;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
motorolum atrix hd 4g cell phone;1;0;0;1;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1
