Features Trans;colorboost;hd;touch;screen;colorboost hd touch screen;colorboost hd;touch screen;colorboost hd touch;amoled;amoled hd touch screen;amoled hd;amoled hd touch
colorboost hd touch screen;1;1;1;1;1;1;1;1;0;0;0;0
amoled hd touch screen;0;1;1;1;0;0;1;0;1;1;1;1
