Features Trans;dpus;resolution;dpus resolution;fax;fax resolution;dpus ultrafine fax resolution;ultrafine fax;dpus ultrafine fax
600 x 400 dpus resolution;1;1;1;0;0;0;0;0
400 x 400 dpus ultrafine fax resolution;1;1;0;1;1;1;1;1
