Features Trans;kbp;modem;kbp modem;g3;g3 modem;kbp super g3 modem;super g3;kbp super g3
33.6 kbp modem;1;1;1;0;0;0;0;0
33.6 kbp super g3 modem;1;1;0;1;1;1;1;1
