Features Trans;dpus;fax;resolution;fax resolution;dpus ultrafine fax resolution;ultrafine fax;dpus ultrafine fax;dpus superfine fax resolution;superfine fax;dpus superfine fax
400 x 400 dpus ultrafine fax resolution;1;1;1;1;1;1;1;0;0;0
203 x 391 dpus superfine fax resolution;1;1;1;1;0;0;0;1;1;1
